"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"100R";"R-EU_R0603";"R0603";"R1, R2, R6, R7";"RESISTOR, European symbol";"";
"4";"100k";"R-EU_R0603";"R0603";"R19, R21, R22, R23";"RESISTOR, European symbol";"";
"6";"100n";"C-EUC0603";"C0603";"C1, C2, C3, C4, C5, C6";"CAPACITOR, European symbol";"";
"2";"1M";"R-EU_R0603";"R0603";"R4, R9";"RESISTOR, European symbol";"";
"11";"1u";"C-EUC0603";"C0603";"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17";"CAPACITOR, European symbol";"";
"3";"200";"R-EU_R0603";"R0603";"R13, R14, R18";"RESISTOR, European symbol";"";
"4";"2M";"R-EU_R0603";"R0603";"R3, R5, R8, R10";"RESISTOR, European symbol";"";
"1";"330R";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";
"4";"4k7";"R-EU_R0603";"R0603";"R11, R12, R15, R16";"RESISTOR, European symbol";"";
"4";"B5819W";"DIODESOD-123";"SOD-123";"D1, D2, D3, D4";"Diode";"";
"1";"BME680";"BME680";"BME680";"U3";"Environmental sensor";"";
"2";"FSM4JSMA";"FSM4JSMA";"BUTTON-6MM-SPST";"SW1, SW2";"Tactile switch SPST-NO";"";
"3";"IRLML0060TRPBF";"IRLML0060TRPBF";"SOT95P237X112-3N";"T1, T2, T3";"N-Channel MOSFET";"";
"2";"MC2";"MC2";"MC2";"X5, X6";"Mini-Combicon 3.81mm horizontal 2-polig";"";
"2";"MCP9601";"MCP9601";"QFN65P500X500X95-21T325N";"U1, U2";"Thermocouple EMF to temperature converter";"";
"2";"MCV_05/3-G-2,5";"MCV_05/3-G-2,5";"MC3";"X3, X4";"Mini-Combicon 2.50mm 3polig";"";
"1";"MIC5504SOT23-5LD";"MIC5504SOT23-5LD";"SOT95P280X145-5";"U4";"LDO 3V3 300mA";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";
"1";"NHD-C12832A1Z";"NHD-C12832A1Z";"NHD-C12832A1Z";"DISP1";"";"";
"1";"PARTICLE_PHOTON";"PARTICLE_PHOTON";"PARTICLE_PHOTON";"JP1";"Particle Photon";"";
"4";"PTR1B1,27";"PTR1B1,27";"B1,27";"TP1, TP2, TP3, TP4";"TEST PIN";"";
"1";"PTR1PAD1-13";"PTR1PAD1-13";"P1-13";"TP5";"TEST PIN";"";
"2";"PU ENABLE";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"JP2, JP3";"Normally closed solder jumper";"";
"2";"TCCON-PCC-SMP";"TCCON-PCC-SMP";"TCCON-PCC-SMP";"X1, X2";"Thermocouple cold junction IEC miniature connector";"";
